h1,h2,h3,h4,t1,t2,t3,t4,t,abp1,abp2,abp3,abp4,abp5
1.0379999999999998,0.29999999999999993,0.3929999999999999,0.093,0.192,0.32,0.39200000000000007,0.12000000000000005,0.5920000000000001,82.35,96.25,92.15,89.8,84.0
1.0070000000000001,0.271,0.369,0.098,0.17599999999999993,0.31200000000000006,0.3839999999999999,0.10400000000000009,0.5760000000000001,84.0,97.05,91.8,89.2,83.7
1.001,0.256,0.365,0.10900000000000001,0.17599999999999993,0.31199999999999983,0.3839999999999999,0.10399999999999987,0.5760000000000001,83.7,97.65,91.55,89.2,83.55
0.992,0.244,0.346,0.10199999999999998,0.1759999999999997,0.31199999999999983,0.3839999999999999,0.10399999999999965,0.5680000000000001,83.55,97.6,91.95,89.55,83.25
1.018,0.261,0.362,0.10099999999999999,0.18399999999999972,0.31999999999999984,0.3919999999999999,0.11199999999999966,0.5839999999999996,83.25,99.25,93.5,91.15,86.35
1.012,0.24399999999999997,0.31599999999999995,0.07200000000000001,0.17600000000000016,0.3120000000000003,0.3680000000000003,0.10400000000000009,0.5760000000000001,86.35,98.9,93.75,91.8,85.1
1.014,0.24400000000000005,0.32800000000000007,0.08399999999999999,0.17600000000000016,0.3120000000000003,0.37600000000000033,0.10400000000000009,0.5760000000000005,85.1,98.05,92.95,90.45,83.45
1.029,0.291,0.38,0.089,0.17599999999999927,0.3119999999999994,0.38399999999999945,0.1039999999999992,0.5759999999999996,83.45,98.65,91.75,89.35,82.6
0.996,0.26000000000000006,0.36000000000000004,0.09999999999999998,0.18400000000000016,0.3120000000000003,0.38400000000000034,0.1120000000000001,0.5839999999999996,82.6,95.65,91.2,89.35,83.95
1.0150000000000001,0.264,0.38,0.11600000000000002,0.17600000000000016,0.30400000000000027,0.40000000000000036,0.10400000000000009,0.5760000000000005,83.95,95.85,91.1,87.2,83.05
1.028,0.27,0.374,0.10400000000000001,0.17600000000000016,0.3119999999999994,0.38399999999999945,0.10400000000000009,0.5759999999999996,83.05,97.95,92.1,89.7,84.25
1.036,0.27799999999999997,0.379,0.101,0.18400000000000016,0.3120000000000003,0.38400000000000034,0.1120000000000001,0.5760000000000005,84.25,96.7,93.3,91.2,86.35
1.038,0.24300000000000002,0.32600000000000007,0.08300000000000002,0.17599999999999927,0.3119999999999994,0.37599999999999945,0.10400000000000009,0.5679999999999996,86.35,98.45,93.8,90.75,84.25
1.0,0.23500000000000004,0.32000000000000006,0.08499999999999999,0.17599999999999927,0.3120000000000003,0.38399999999999945,0.10400000000000009,0.5840000000000005,84.25,98.9,92.55,89.7,85.0
1.044,0.284,0.37599999999999995,0.09199999999999997,0.16799999999999926,0.30400000000000027,0.37599999999999945,0.1039999999999992,0.5759999999999987,85.0,98.8,91.6,89.6,84.75
1.0270000000000001,0.27,0.36900000000000005,0.09900000000000003,0.16800000000000104,0.30400000000000027,0.38400000000000034,0.10400000000000098,0.5680000000000014,84.75,98.3,91.3,88.5,83.25
1.024,0.267,0.373,0.10600000000000001,0.17600000000000016,0.3119999999999994,0.39199999999999946,0.1120000000000001,0.5759999999999987,83.25,97.55,91.3,88.05,83.05
1.029,0.268,0.372,0.10400000000000001,0.17600000000000016,0.31200000000000117,0.38400000000000034,0.10400000000000098,0.5760000000000005,83.05,97.6,92.05,89.5,85.35
1.043,0.285,0.365,0.08,0.17600000000000016,0.30400000000000027,0.37599999999999945,0.10400000000000098,0.5679999999999996,85.35,97.95,93.45,91.45,86.05
